Nome,Citta,Indirizzo,Telefono,Email,Categoria,Motivo,Recensioni,Demo URL,WhatsApp link,Email link,Inviato
Studio Dentistico IQ,Parma PR,"Via Emilia Ovest, 129, 43126 Parma PR",0521 927913,,SENZA SITO,nessun sito,150,https://mirondavide.com/dentisti/studio-dentistico-iq/,,,
Studio Dentistico Lorenzano,Parma PR,"Via Clemente Bondi, 1, 43123 Parma PR",0521 939399,,SENZA SITO,nessun sito,142,https://mirondavide.com/dentisti/studio-dentistico-lorenzano/,,,
Studio Dentistico Pontoriero,Parma PR,"Via Camillo Rondani, 7, 43121 Parma PR",0521 282772,,SENZA SITO,nessun sito,99,https://mirondavide.com/dentisti/studio-dentistico-pontoriero/,,,
Dental Group,Parma PR,"Largo Ferruccio Parri, 33, 43123 Parma PR",0521 155 6292,,SENZA SITO,nessun sito,37,https://mirondavide.com/dentisti/dental-group/,,,
Studio Dentistico Lunardi,Parma PR,"Borgo Angelo Mazza, 8, 43121 Parma PR",0521 286844,,SENZA SITO,nessun sito,20,https://mirondavide.com/dentisti/studio-dentistico-lunardi/,,,
Studio Dentistico Associato Di Dr. Stefano E Dr.Filippo Tragni,Parma PR,"Via Stanislao Solari, 21, 43125 Parma PR",0521 256397,,SENZA SITO,nessun sito,19,https://mirondavide.com/dentisti/studio-dentistico-associato-di-dr-stefano-e-dr-fil/,,,
studio dentistico Dr. Maurizio Bellomi,Parma PR,"Viale dei Mille, 86, 43125 Parma PR",0521 941723,,SENZA SITO,nessun sito,18,https://mirondavide.com/dentisti/studio-dentistico-dr-maurizio-bellomi/,,,
Dott. Studio Associato Rossi Luigi E D.ssa Frigeri Alessandra,Parma PR,"Str. Langhirano, 2, 43125 Parma PR",0521 966744,,SENZA SITO,nessun sito,17,https://mirondavide.com/dentisti/dott-studio-associato-rossi-luigi-e-d-ssa-frigeri-/,,,
Studio dentistico “Nirasei Dentart”,Parma PR,"Via Alberto del Bono, 3/I, 43123 Parma PR",0521 242555,,SENZA SITO,nessun sito,15,https://mirondavide.com/dentisti/studio-dentistico-nirasei-dentart/,,,
Dall'Aglio Dr. Paolo,Parma PR,"Via Ferdinando Orlandi, 26, 43123 Parma PR",0521 386749,,SENZA SITO,nessun sito,13,https://mirondavide.com/dentisti/dall-aglio-dr-paolo/,,,
Coes Centro Odontoiatrico e Stomatologico,Parma PR,"Borgo Girolamo Cantelli, 11, 43121 Parma PR",0521 206361,,SENZA SITO,nessun sito,12,https://mirondavide.com/dentisti/coes-centro-odontoiatrico-e-stomatologico/,,,
Studio Dentistico Moia dott.ssa Federica,Parma PR,"Via Ireneo Affò, 4, 43121 Parma PR",0521 283898,,SENZA SITO,nessun sito,12,https://mirondavide.com/dentisti/studio-dentistico-moia-dott-ssa-federica/,,,
Studio Odontoiatrico Dott. Cudazzo Sergio,Parma PR,"Via Cristoforo Marzaroli, 7, 43123 Parma PR",0521 483737,,SENZA SITO,nessun sito,12,https://mirondavide.com/dentisti/studio-odontoiatrico-dott-cudazzo-sergio/,,,
